neighborhood,price,bedrooms,bathrooms,sqft_living,lat,long,neighborhood_rank
0,314836.48499727226,3.465357337697763,2.130660120021822,1992.6415711947627,47.39347850518276,-122.17355264593563,9
1,639392.3124236253,3.5519348268839104,2.269653767820774,2293.9344195519348,47.711545173116086,-122.17511242362527,3
2,488255.9326923077,3.344551282051282,2.3060897435897436,2308.4054487179487,47.517839262820516,-121.81669230769229,6
3,626259.2617030762,3.6727596968345964,2.2981497993758357,2393.5844850646454,47.54192282657156,-122.14169683459652,4
4,419605.7589363557,3.047079337401918,1.7629686137750653,1666.559721011334,47.51743012205754,-122.3643299912816,7
5,608576.5137103684,3.2020137103684663,1.9429627249357326,1847.0897600685519,47.69361428877463,-122.33887682090831,5
6,291981.04931972787,3.358843537414966,1.9790249433106577,1902.358843537415,47.32814461451247,-122.31090362811791,10
7,361158.01927525055,3.3592906707787202,2.1856206630686197,2071.006939090208,47.3376267540478,-122.03364379336931,8
8,708472.1866897148,3.375972342264477,2.1120354364736387,2114.9822817631807,47.56658327571305,-122.26995462402765,1
9,656529.8580858086,3.500707213578501,2.5025931164545026,2582.870344177275,47.63416412069778,-122.0174837340877,2
